# 上市公司名称

# 深圳证券交易所
# http://www.szse.cn/main/marketdata/jypz/colist/

平安银行 ping'an'yin'xing
富瑞特装 fu'rui'te'zhuang
拓尔思 tuo'er'si
永利股份 yong'li'gu'fen
银信科技 yin'xin'ke'ji
洲明科技 zhou'ming'ke'ji
金城医药 jin'cheng'yi'yao
开尔新材 kai'er'xin'cai
方直科技 fang'zhi'ke'ji
上海新阳 shang'hai'xin'yang
美晨生态 mei'chen'sheng'tai
冠昊生物 guan'hao'sheng'wu
东宝生物 dong'bao'sheng'wu
飞力达 fei'li'da
瑞丰光电 rui'feng'guang'dian
明家联合 ming'jia'lian'he
瑞丰高材 rui'feng'gao'cai
迪安诊断 di'an'zhen'duan
天玑科技 tian'ji'ke'ji
宝莱特 bao'lai'te
乐金健康 le'jin'jian'kang
新开普 xin'kai'pu
依米康 yi'mi'kang
初灵信息 chu'ling'xin'xi
光线传媒 guang'xian'chuan'mei
金信诺 jin'xin'nuo
卫宁健康 wei'ning'jian'kang
仟源医药 qian'yuan'yi'yao
常山药业 chang'shan'yao'ye
星星科技 xing'xing'ke'ji
开山股份 kai'shan'gu'fen
精锻科技 jing'duan'ke'ji
新天科技 xin'tian'ke'ji
新莱应材 xin'lai'ying'cai
雅本化学 ya'ben'hua'xue
巴安水务 ba'an'shui'wu
隆华节能 long'hua'jie'neng
佳创视讯 jia'chuang'shi'xun
通光线缆 tong'guang'xian'lan
兴源环境 xing'yuan'huan'jing
尔康制药 er'kang'zhi'yao
佳沃股份 jia'wo'gu'fen
联建光电 lian'jian'guang'dian
中威电子 zhong'wei'dian'zi
华宇软件 hua'yu'ruan'jian
开能环保 kai'neng'huan'bao
和佳股份 he'jia'gu'fen
阳光电源 yang'guang'dian'yuan
梅安森 mei'an'sen
三丰智能 san'feng'zhi'neng
海联讯 hai'lian'xun
华昌达 hua'chang'da
和晶科技 he'jing'ke'ji
南通锻压 nan'tong'duan'ya
金明精机 jin'ming'jing'ji
汇冠股份 hui'guan'gu'fen
温州宏丰 wen'zhou'hong'feng
苏交科 su'jiao'ke
国瓷材料 guo'ci'cai'liao
安科瑞 an'ke'rui
飞利信 fei'li'xin
朗玛信息 lang'ma'xin'xi
利德曼 li'de'man
荣科科技 rong'ke'ke'ji
华录百纳 hua'lu'bai'na
吴通控股 wu'tong'kong'gu
蓝英装备 lan'ying'zhuang'bei
博雅生物 bo'ya'sheng'wu
三六五网 san'liu'wu'wang
利亚德 li'ya'de
蓝盾股份 lan'dun'gu'fen
三诺生物 san'nuo'sheng'wu
富春股份 fu'chun'gu'fen
汉鼎宇佑 han'ding'yu'you
长方集团 chang'fang'ji'tuan
同有科技 tong'you'ke'ji
聚飞光电 ju'fei'guang'dian
云意电气 yun'yi'dian'qi
裕兴股份 yu'xing'gu'fen
远方信息 yuan'fang'xin'xi
慈星股份 ci'xing'gu'fen
中际旭创 zhong'ji'xu'chuang
吉艾科技 ji'ai'ke'ji
宜通世纪 yi'tong'shi'ji
任子行 ren'zi'xing
邦讯技术 bang'xun'ji'shu
天山生物 tian'shan'sheng'wu
戴维医疗 dai'wei'yi'liao
掌趣科技 zhang'qu'ke'ji
晶盛机电 jing'sheng'ji'dian
珈伟股份 jia'wei'gu'fen
博晖创新 bo'hui'chuang'xin
麦捷科技 mai'jie'ke'ji
海达股份 hai'da'gu'fen
同大股份 tong'da'gu'fen
硕贝德 shuo'bei'de
华灿光电 hua'can'guang'dian
旋极信息 xuan'ji'xin'xi
德威新材 de'wei'xin'cai
凯利泰 kai'li'tai
中颖电子 zhong'ying'dian'zi
宜安科技 yi'an'ke'ji
海伦钢琴 hai'lun'gang'qin
华虹计通 hua'hong'ji'tong
苏大维格 su'da'wei'ge
天壕环境 tian'hao'huan'jing
兆日科技 zhao'ri'ke'ji
津膜科技 jin'mo'ke'ji
迪森股份 di'sen'gu'fen
新文化 xin'wen'hua
银邦股份 yin'bang'gu'fen
开元股份 kai'yuan'gu'fen
润和软件 run'he'ruan'jian
科恒股份 ke'heng'gu'fen
麦迪电气 mai'di'dian'qi
天银机电 tian'yin'ji'dian
联创互联 lian'chuang'hu'lian
太空板业 tai'kong'ban'ye
红宇新材 hong'yu'xin'cai
南大光电 nan'da'guang'dian
泰格医药 tai'ge'yi'yao
长亮科技 chang'liang'ke'ji
金卡智能 jin'ka'zhi'neng
华鹏飞 hua'peng'fei
永贵电器 yong'gui'dian'qi
北信源 bei'xin'yuan
东土科技 dong'tu'ke'ji
东华测试 dong'hua'ce'shi
蒙草生态 meng'cao'sheng'tai
光一科技 guang'yi'ke'ji
我武生物 wo'wu'sheng'wu
楚天科技 chu'tian'ke'ji
全通教育 quan'tong'jiao'yu
炬华科技 ju'hua'ke'ji
天翔环境 tian'xiang'huan'jing
博腾股份 bo'teng'gu'fen
中文在线 zhong'wen'zai'xian
恒华科技 heng'hua'ke'ji
创意信息 chuang'yi'xin'xi
东方网力 dong'fang'wang'li
汇金股份 hui'jin'gu'fen
绿盟科技 lv'meng'ke'ji
安控科技 an'kong'ke'ji
汇中股份 hui'zhong'gu'fen
扬杰科技 yang'jie'ke'ji
恒通科技 heng'tong'ke'ji
鹏翎股份 peng'ling'gu'fen
易事特 yi'shi'te
赢时胜 ying'shi'sheng
鼎捷软件 ding'jie'ruan'jian
东方通 dong'fang'tong
安硕信息 an'shuo'xin'xi
溢多利 yi'duo'li
斯莱克 si'lai'ke
光环新网 guang'huan'xin'wang
三联虹普 san'lian'hong'pu
雪浪环境 xue'lang'huan'jing
飞天诚信 fei'tian'cheng'xin
富邦股份 fu'bang'gu'fen
国祯环保 guo'zhen'huan'bao
艾比森 ai'bi'sen
天华超净 tian'hua'chao'jing
康跃科技 kang'yue'ke'ji
腾信股份 teng'xin'gu'fen
中来股份 zhong'lai'gu'fen
天孚通信 tian'fu'tong'xin
菲利华 fei'li'hua
迪瑞医疗 di'rui'yi'liao
天和防务 tian'he'fang'wu
飞凯材料 fei'kai'cai'liao
京天利 jing'tian'li
劲拓股份 jin'tuo'gu'fen
花园生物 hua'yuan'sheng'wu
宝色股份 bao'se'gu'fen
地尔汉宇 di'er'han'yu
博济医药 bo'ji'yi'yao
科隆股份 ke'long'gu'fen
九强生物 jiu'qiang'sheng'wu
凯发电气 kai'fa'dian'qi
三环集团 san'huan'ji'tuan
道氏技术 dao'shi'ji'shu
正业科技 zheng'ye'ke'ji
金盾股份 jin'dun'gu'fen
迦南科技 jia'nan'ke'ji
快乐购 kuai'le'gou
中光防雷 zhong'guang'fang'lei
伊之密 yi'zhi'mi
苏试试验 su'shi'shi'yan
南华仪器 nan'hua'yi'qi
昆仑万维 kun'lun'wan'wei
浩丰科技 hao'feng'ke'ji
五洋科技 wu'yang'ke'ji
力星股份 li'xing'gu'fen
博世科 bo'shi'ke
鲁亿通 lu'yi'tong
航新科技 hang'xin'ke'ji
环能科技 huan'neng'ke'ji
唐德影视 tang'de'ying'shi
红相电力 hong'xiang'dian'li
四通新材 si'tong'xin'cai
强力新材 qiang'li'xin'cai
诚益通 cheng'yi'tong
暴风集团 bao'feng'ji'tuan
富临精工 fu'lin'jing'gong
蓝思科技 lan'si'ke'ji
金石东方 jin'shi'dong'fang
中泰股份 zhong'tai'gu'fen
广生堂 guang'sheng'tang
清水源 qing'shui'yuan
鹏辉能源 peng'hui'neng'yuan
美康生物 mei'kang'sheng'wu
运达科技 yun'da'ke'ji
鲍斯股份 bao'si'gu'fen
普丽盛 pu'li'sheng
金雷风电 jin'lei'feng'dian
双杰电气 shuang'jie'dian'qi
康斯特 kang'si'te
乐凯新材 le'kai'xin'cai
全信股份 quan'xin'gu'fen
浩云科技 hao'yun'ke'ji
汉邦高科 han'bang'gao'ke
先导智能 xian'dao'zhi'neng
创业软件 chuang'ye'ruan'jian
山河药辅 shan'he'yao'fu
三鑫医疗 san'xin'yi'liao
康拓红外 kang'tuo'hong'wai
耐威科技 nai'wei'ke'ji
赢合科技 ying'he'ke'ji
全志科技 quan'zhi'ke'ji
金科文化 jin'ke'wen'hua
惠伦晶体 hui'lun'jing'ti
田中精机 tian'zhong'jing'ji
华铭智能 hua'ming'zhi'neng
迈克生物 mai'ke'sheng'wu
星徽精密 xing'hui'jing'mi
高伟达 gao'wei'da
赛摩电气 sai'mo'dian'qi
迅游科技 xun'you'ke'ji
四方精创 si'fang'jing'chuang
信息发展 xin'xi'fa'zhan
日机密封 ri'ji'mi'feng
厚普股份 hou'pu'gu'fen
新元科技 xin'yuan'ke'ji
德尔股份 de'er'gu'fen
景嘉微 jing'jia'wei
聚隆科技 ju'long'ke'ji
胜宏科技 sheng'hong'ke'ji
合纵科技 he'zong'ke'ji
杭州高新 hang'zhou'gao'xin
神思电子 shen'si'dian'zi
光力科技 guang'li'ke'ji
濮阳惠成 pu'yang'hui'cheng
万孚生物 wan'fu'sheng'wu
沃施股份 wo'shi'gu'fen
蓝海华腾 lan'hai'hua'teng
赛升药业 sai'sheng'yao'ye
东杰智能 dong'jie'zhi'neng
蓝晓科技 lan'xiao'ke'ji
恒锋工具 heng'feng'gong'ju
中飞股份 zhong'fei'gu'fen
华自科技 hua'zi'ke'ji
通合科技 tong'he'ke'ji
山鼎设计 shan'ding'she'ji
润欣科技 run'xin'ke'ji
盛天网络 sheng'tian'wang'luo
美尚生态 mei'shang'sheng'tai
中科创达 zhong'ke'chuang'da
富祥股份 fu'xiang'gu'fen
温氏股份 wen'shi'gu'fen
高澜股份 gao'lan'gu'fen
启迪设计 qi'di'she'ji
海顺新材 hai'shun'xin'cai
新易盛 xin'yi'sheng
昊志机电 hao'zhi'ji'dian
川金诺 chuan'jin'nuo
名家汇 ming'jia'hui
苏奥传感 su'ao'chuan'gan
维宏股份 wei'hong'gu'fen
新美星 xin'mei'xing
金冠电气 jin'guan'dian'qi
雪榕生物 xue'rong'sheng'wu
中亚股份 zhong'ya'gu'fen
恒泰实达 heng'tai'shi'da
友讯达 you'xun'da
三德科技 san'de'ke'ji
久之洋 jiu'zhi'yang
海波重科 hai'bo'zhong'ke
盛讯达 sheng'xun'da
新光药业 xin'guang'yao'ye
科大国创 ke'da'guo'chuang
爱司凯 ai'si'kai
世名科技 shi'ming'ke'ji
辰安科技 chen'an'ke'ji
博思软件 bo'si'ruan'jian
中潜股份 zhong'qian'gu'fen
华舟应急 hua'zhou'ying'ji
幸福蓝海 xing'fu'lan'hai
健帆生物 jian'fan'sheng'wu
达志科技 da'zhi'ke'ji
优博讯 you'bo'xun
今天国际 jin'tian'guo'ji
冰川网络 bing'chuan'wang'luo
陇神戎发 long'shen'rong'fa
达威股份 da'wei'gu'fen
农尚环境 nong'shang'huan'jing
广信材料 guang'xin'cai'liao
同益股份 tong'yi'gu'fen
横河模具 heng'he'mo'ju
深冷股份 shen'leng'gu'fen
先进数通 xian'jin'shu'tong
新晨科技 xin'chen'ke'ji
朗科智能 lang'ke'zhi'neng
联得装备 lian'de'zhuang'bei
雄帝科技 xiong'di'ke'ji
川环科技 chuan'huan'ke'ji
博创科技 bo'chuang'ke'ji
优德精密 you'de'jing'mi
和仁科技 he'ren'ke'ji
古鳌科技 gu'ao'ke'ji
万集科技 wan'ji'ke'ji
集智股份 ji'zhi'gu'fen
三超新材 san'chao'xin'cai
路通视信 lu'tong'shi'xin
丝路视觉 si'lu'shi'jue
理工光科 li'gong'guang'ke
贝达药业 bei'da'yao'ye
佳发安泰 jia'fa'an'tai
中富通 zhong'fu'tong
汇金科技 hui'jin'ke'ji
乐心医疗 le'xin'yi'liao
神宇股份 shen'yu'gu'fen
科信技术 ke'xin'ji'shu
激智科技 ji'zhi'ke'ji
精测电子 jing'ce'dian'zi
星源材质 xing'yuan'cai'zhi
天能重工 tian'neng'zhong'gong
太辰光 tai'chen'guang
平治信息 ping'zhi'xin'xi
安车检测 an'che'jian'ce
兴齐眼药 xing'qi'yan'yao
中旗股份 zhong'qi'gu'fen
容大感光 rong'da'gan'guang
开润股份 kai'run'gu'fen
会畅通讯 hui'chang'tong'xun
数字认证 shu'zi'ren'zheng
贝斯特 bei'si'te
晨曦航空 chen'xi'hang'kong
英飞特 ying'fei'te
赛托生物 sai'tuo'sheng'wu
海辰药业 hai'chen'yao'ye
奥联电子 ao'lian'dian'zi
美联新材 mei'lian'xin'cai
天铁股份 tian'tie'gu'fen
熙菱信息 xi'ling'xin'xi
江龙船艇 jiang'long'chuan'ting
移为通信 yi'wei'tong'xin
万里马 wan'li'ma
华凯创意 hua'kai'chuang'yi
新雷能 xin'lei'neng
欧普康视 ou'pu'kang'shi
利安隆 li'an'long
吉大通信 ji'da'tong'xin
诚迈科技 cheng'mai'ke'ji
雄塑科技 xiong'su'ke'ji
瑞特股份 rui'te'gu'fen
康泰生物 kang'tai'sheng'wu
飞荣达 fei'rong'da
立昂技术 li'ang'ji'shu
长川科技 chang'chuan'ke'ji
恒锋信息 heng'feng'xin'xi
金太阳 jin'tai'yang
拓斯达 tuo'si'da
思特奇 si'te'qi
汇纳科技 hui'na'ke'ji
晨化股份 chen'hua'gu'fen
美力科技 mei'li'ke'ji
宣亚国际 xuan'ya'guo'ji
富瀚微 fu'han'wei
欣天科技 xin'tian'ke'ji
尚品宅配 shang'pin'zhai'pei
安靠智电 an'kao'zhi'dian
寒锐钴业 han'rui'gu'ye
金银河 jin'yin'he
光库科技 guang'ku'ke'ji
维业股份 wei'ye'gu'fen
博士眼镜 bo'shi'yan'jing
捷捷微电 jie'jie'wei'dian
万兴科技 wan'xing'ke'ji
三雄极光 san'xiong'ji'guang
华瑞股份 hua'rui'gu'fen
华测导航 hua'ce'dao'hang
亿联网络 yi'lian'wang'luo
新劲刚 xin'jin'gang
普利制药 pu'li'zhi'yao
久吾高科 jiu'wu'gao'ke
光莆股份 guang'pu'gu'fen
开立医疗 kai'li'yi'liao
达安股份 da'an'gu'fen
同和药业 tong'he'yao'ye
扬帆新材 yang'fan'xin'cai
广和通 guang'he'tong
凯普生物 kai'pu'sheng'wu
德艺文创 de'yi'wen'chuang
正丹股份 zheng'dan'gu'fen
透景生命 tou'jing'sheng'ming
万通智控 wan'tong'zhi'kong
正元智慧 zheng'yuan'zhi'hui
超频三 chao'pin'san
星云股份 xing'yun'gu'fen
杭州园林 hang'zhou'yuan'lin
太龙照明 tai'long'zhao'ming
金陵体育 jin'ling'ti'yu
雷迪克 lei'di'ke
正海生物 zheng'hai'sheng'wu
世纪天鸿 shi'ji'tian'hong
晶瑞股份 jing'rui'gu'fen
民德电子 min'de'dian'zi
弘信电子 hong'xin'dian'zi
延江股份 yan'jiang'gu'fen
中孚信息 zhong'fu'xin'xi
江苏雷利 jiang'su'lei'li
圣邦股份 sheng'bang'gu'fen
科锐国际 ke'rui'guo'ji
科蓝软件 ke'lan'ruan'jian
鹏鹞环保 peng'yao'huan'bao
飞鹿股份 fei'lu'gu'fen
江丰电子 jiang'feng'dian'zi
必创科技 bi'chuang'ke'ji
杰恩设计 jie'en'she'ji
沪宁股份 hu'ning'gu'fen
大烨智能 da'ye'zhi'neng
富满电子 fu'man'dian'zi
国科微 guo'ke'wei
佩蒂股份 pei'di'gu'fen
建科院 jian'ke'yuan
华大基因 hua'da'ji'yin
英科医疗 ying'ke'yi'liao
中科信息 zhong'ke'xin'xi
电连技术 dian'lian'ji'shu
隆盛科技 long'sheng'ke'ji
英搏尔 ying'bo'er
朗新科技 lang'xin'ke'ji
海特生物 hai'te'sheng'wu
中石科技 zhong'shi'ke'ji
艾德生物 ai'de'sheng'wu
智动力 zhi'dong'li
赛意信息 sai'yi'xin'xi
创业黑马 chuang'ye'hei'ma
澄天伟业 cheng'tian'wei'ye
双一科技 shuang'yi'ke'ji
联合光电 lian'he'guang'dian
中环环保 zhong'huan'huan'bao
盛弘股份 sheng'hong'gu'fen
兆丰股份 zhao'feng'gu'fen
爱乐达 ai'le'da
电工合金 dian'gong'he'jin
万马科技 wan'ma'ke'ji
光威复材 guang'wei'fu'cai
岱勒新材 dai'le'xin'cai
森霸股份 sen'ba'gu'fen
天宇股份 tian'yu'gu'fen
创源文化 chuang'yuan'wen'hua
九典制药 jiu'dian'zhi'yao
阿石创 a'shi'chuang
威唐工业 wei'tang'gong'ye
聚灿光电 ju'can'guang'dian
精研科技 jing'yan'ke'ji
万隆光电 wan'long'guang'dian
广哈通信 guang'ha'tong'xin
永福股份 yong'fu'gu'fen
英可瑞 ying'ke'rui
凯伦股份 kai'lun'gu'fen
国立科技 guo'li'ke'ji
华信新材 hua'xin'xin'cai
长盛轴承 chang'sheng'zhou'cheng
安达维尔 an'da'wei'er
海川智能 hai'chuan'zhi'neng
怡达股份 yi'da'gu'fen
新余国科 xin'yu'guo'ke
一品红 yi'pin'hong
药石科技 yao'shi'ke'ji
宏达电子 hong'da'dian'zi
润禾材料 run'he'cai'liao
乐歌股份 le'ge'gu'fen
科创信息 ke'chuang'xin'xi
科创新源 ke'chuang'xin'yuan
设研院 she'yan'yuan
西菱动力 xi'ling'dong'li
光弘科技 guang'hong'ke'ji
百华悦邦 bai'hua'yue'bang
科顺股份 ke'shun'gu'fen
奥飞数据 ao'fei'shu'ju

# 上海证券交易所
# http://www.sse.com.cn/assortment/stock/list/share/

# A股
浦发银行 pu'fa'yin'xing
白云机场 bai'yun'ji'chang
东风汽车 dong'feng'qi'che
中国国贸 zhong'guo'guo'mao
首创股份 shou'chuang'gu'fen
上海机场 shang'hai'ji'chang
包钢股份 bao'gang'gu'fen
华能国际 hua'neng'guo'ji
皖通高速 wan'tong'gao'su
华夏银行 hua'xia'yin'xing
民生银行 min'sheng'yin'xing
日照港 ri'zhao'gang
上港集团 shang'gang'ji'tuan
宝钢股份 bao'gang'gu'fen
中原高速 zhong'yuan'gao'su
上海电力 shang'hai'dian'li
山东钢铁 shan'dong'gang'tie
浙能电力 zhe'neng'dian'li
华能水电 hua'neng'shui'dian
中远海能 zhong'yuan'hai'neng
华电国际 hua'dian'guo'ji
中国石化 zhong'guo'shi'hua
南方航空 nan'fang'hang'kong
中信证券 zhong'xin'zheng'quan
三一重工 san'yi'zhong'gong
福建高速 fu'jian'gao'su
楚天高速 chu'tian'gao'su
招商银行 zhao'shang'yin'xing
歌华有线 ge'hua'you'xian
中直股份 zhong'zhi'gu'fen
四川路桥 si'chuan'lu'qiao
保利地产 bao'li'di'chan
中国联通 zhong'guo'lian'tong
宁波联合 ning'bo'lian'he
浙江广厦 zhe'jiang'guang'xia
九鼎投资 jiu'ding'tou'zi
黄山旅游 huang'shan'lv'you
万东医疗 wan'dong'yi'liao
中国医药 zhong'guo'yi'yao
象屿股份 xiang'yu'gu'fen
五矿发展 wu'kuang'fa'zhan
古越龙山 gu'yue'long'shan
海信电器 hai'xin'dian'qi
国投资本 guo'tou'zi'ben
华润双鹤 hua'run'shuang'he
皖维高新 wan'wei'gao'xin
南京高科 nan'jing'gao'ke
宇通客车 yu'tong'ke'che
冠城大通 guan'cheng'da'tong
葛洲坝 ge'zhou'ba
银鸽投资 yin'ge'tou'zi
浙江富润 zhe'jiang'fu'run
凤凰光学 feng'huang'guang'xue
中船科技 zhong'chuan'ke'ji
上海梅林 shang'hai'mei'lin
保千里 bao'qian'li
新疆天业 xin'jiang'tian'ye
康欣新材 kang'xin'xin'cai
宋都股份 song'dou'gu'fen
澄星股份 cheng'xing'gu'fen
人福医药 ren'fu'yi'yao
金花股份 jin'hua'gu'fen
东风科技 dong'feng'ke'ji
海泰发展 hai'tai'fa'zhan
博信股份 bo'xin'gu'fen
中葡股份 zhong'pu'gu'fen
同仁堂 tong'ren'tang
东方金钰 dong'fang'jin'yu
中视传媒 zhong'shi'chuan'mei
特变电工 te'bian'dian'gong
同济堂 tong'ji'tang
明科 ming'ke
易见股份 yi'jian'gu'fen
大名城 da'ming'cheng
哈高科 ha'gao'ke
云天化 yun'tian'hua
开创国际 kai'chuang'guo'ji
广州发展 guang'zhou'fa'zhan
林海股份 lin'hai'gu'fen
同方股份 tong'fang'gu'fen
明星电力 ming'xing'dian'li
青山纸业 qing'shan'zhi'ye
上汽集团 shang'qi'ji'tuan
永鼎股份 yong'ding'gu'fen
重庆路桥 zhong'qing'lu'qiao
美尔雅 mei'er'ya
亚盛集团 ya'sheng'ji'tuan
国金证券 guo'jin'zheng'quan
诺德股份 nuo'de'gu'fen
北方稀土 bei'fang'xi'tu
天成 tian'cheng
浙江东日 zhe'jiang'dong'ri
东睦股份 dong'mu'gu'fen
东方航空 dong'fang'hang'kong
三峡水利 san'xia'shui'li
西宁特钢 xi'ning'te'gang
中国卫星 zhong'guo'wei'xing
长江投资 chang'jiang'tou'zi
浙江东方 zhe'jiang'dong'fang
郑煤 zheng'mei
宏图高科 hong'tu'gao'ke
兰花科创 lan'hua'ke'chuang
铁龙物流 tie'long'wu'liu
杭钢股份 hang'gang'gu'fen
金健米业 jin'jian'mi'ye
弘业股份 hong'ye'gu'fen
太极集团 tai'ji'ji'tuan
波导股份 bo'dao'gu'fen
岷江水电 min'jiang'shui'dian
重庆啤酒 zhong'qing'pi'jiu
东湖高新 dong'hu'gao'xin
乐凯胶片 le'kai'jiao'pian
当代明诚 dang'dai'ming'cheng
浪莎股份 lang'sha'gu'fen
中青旅 zhong'qing'lv
西部资源 xi'bu'zi'yuan
兴发集团 xing'fa'ji'tuan
金发科技 jin'fa'ke'ji
新亿 xin'yi
商赢环球 shang'ying'huan'qiu
长春一东 chang'chun'yi'dong
坊展 fang'zhan
中国船舶 zhong'guo'chuan'bo
航天机电 hang'tian'ji'dian
维科精华 wei'ke'jing'hua
建发股份 jian'fa'gu'fen
宝硕股份 bao'shuo'gu'fen
华升股份 hua'sheng'gu'fen
永泰能源 yong'tai'neng'yuan
中体产业 zhong'ti'chan'ye
大龙地产 da'long'di'chan
巨化股份 ju'hua'gu'fen
天坛生物 tian'tan'sheng'wu
香江控股 xiang'jiang'kong'gu
中闽能源 zhong'min'neng'yuan
新日恒力 xin'ri'heng'li
福田汽车 fu'tian'qi'che
联美控股 lian'mei'kong'gu
武汉控股 wu'han'kong'gu
太原重工 tai'yuan'zhong'gong
上海建工 shang'hai'jian'gong
上海贝岭 shang'hai'bei'ling
黄河旋风 huang'he'xuan'feng
卧龙地产 wo'long'di'chan
美都能源 mei'dou'neng'yuan
中国巨石 zhong'guo'ju'shi
雅戈尔 ya'ge'er
东安动力 dong'an'dong'li
安通控股 an'tong'kong'gu
瑞茂通 rui'mao'tong
佳通 jia'tong
生益科技 sheng'yi'ke'ji
光电股份 guang'dian'gu'fen
格力地产 ge'li'di'chan
莲花健康 lian'hua'jian'kang
国中水务 guo'zhong'shui'wu
兖州煤业 yan'zhou'mei'ye
吉林森工 ji'lin'sen'gong
锦州港 jin'zhou'gang
华资实业 hua'zi'shi'ye
长城电工 chang'cheng'dian'gong
创兴资源 chuang'xing'zi'yuan
中牧股份 zhong'mu'gu'fen
复星医药 fu'xing'yi'yao
伊力特 yi'li'te
大唐电信 da'tang'dian'xin
金种子酒 jin'zhong'zi'jiu
江苏吴中 jiang'su'wu'zhong
生物股份 sheng'wu'gu'fen
哈空调 ha'kong'diao
福日电子 fu'ri'dian'zi
有研新材 you'yan'xin'cai
安彩高科 an'cai'gao'ke
新湖中宝 xin'hu'zhong'bao
罗顿发展 luo'dun'fa'zhan
紫江企业 zi'jiang'qi'ye
西藏药业 xi'cang'yao'ye
江泉实业 jiang'quan'shi'ye
亚星客车 ya'xing'ke'che
长春经开 chang'chun'jing'kai
浙江医药 zhe'jiang'yi'yao
中再资环 zhong'zai'zi'huan
全柴动力 quan'chai'dong'li
南山铝业 nan'shan'lv'ye
江苏阳光 jiang'su'yang'guang
海航控股 hai'hang'kong'gu
太龙药业 tai'long'yao'ye
鲁商置业 lu'shang'zhi'ye
松江 song'jiang
瀚叶股份 han'ye'gu'fen
赤天化 chi'tian'hua
昌九 chang'jiu
城市传媒 cheng'shi'chuan'mei
沧州大化 cang'zhou'da'hua
凌钢股份 ling'gang'gu'fen
金鹰股份 jin'ying'gu'fen
圆通速递 yuan'tong'su'di
山水 shan'shui
民丰特纸 min'feng'te'zhi
桂冠电力 gui'guan'dian'li
铜峰电子 tong'feng'dian'zi
海南椰岛 hai'nan'ye'dao
云南城投 yun'nan'cheng'tou
华业资本 hua'ye'zi'ben
时代万恒 shi'dai'wan'heng
中昌数据 zhong'chang'shu'ju
青海华鼎 qing'hai'hua'ding
万通地产 wan'tong'di'chan
成城 cheng'cheng
延长化建 yan'chang'hua'jian
两面针 liang'mian'zhen
南纺股份 nan'fang'gu'fen
冠农股份 guan'nong'gu'fen
中恒集团 zhong'heng'ji'tuan
梦舟股份 meng'zhou'gu'fen
广汇能源 guang'hui'neng'yuan
大湖股份 da'hu'gu'fen
首旅酒店 shou'lv'jiu'dian
广晟有色 guang'sheng'you'se
凯乐科技 kai'le'ke'ji
阳光照明 yang'guang'zhao'ming
北方股份 bei'fang'gu'fen
景谷 jing'gu
北京城建 bei'jing'cheng'jian
海正药业 hai'zheng'yao'ye
国电南自 guo'dian'nan'zi
赣粤高速 gan'yue'gao'su
外运发展 wai'yun'fa'zhan
航天信息 hang'tian'xin'xi
开开实业 kai'kai'shi'ye
嘉化能源 jia'hua'neng'yuan
昌鱼 chang'yu
恒瑞医药 heng'rui'yi'yao
亿利洁能 yi'li'jie'neng
东方创业 dong'fang'chuang'ye
重庆港九 zhong'qing'gang'jiu
中央商场 zhong'yang'shang'chang
太化股份 tai'hua'gu'fen
南钢股份 nan'gang'gu'fen
钱江水利 qian'jiang'shui'li
浦东建设 pu'dong'jian'she
羚锐制药 ling'rui'zhi'yao
江苏舜天 jiang'su'shun'tian
大恒科技 da'heng'ke'ji
信通 xin'tong
华仪电气 hua'yi'dian'qi
西水股份 xi'shui'gu'fen
远达环保 yuan'da'huan'bao
三峡新材 san'xia'xin'cai
鄂尔多斯 e'er'duo'si
广汇汽车 guang'hui'qi'che
安琪酵母 an'qi'jiao'mu
安迪苏 an'di'su
维维股份 wei'wei'gu'fen
南化 nan'hua
标准股份 biao'zhun'gu'fen
曙光股份 shu'guang'gu'fen
恒顺醋业 heng'shun'cu'ye
商业城 shang'ye'cheng
酒钢宏兴 jiu'gang'hong'xing
华泰股份 hua'tai'gu'fen
万华化学 wan'hua'hua'xue
桂东电力 gui'dong'dian'li
荣华实业 rong'hua'shi'ye
平高电气 ping'gao'dian'qi
农发种业 nong'fa'zhong'ye
上海家化 shang'hai'jia'hua
洪都航空 hong'dou'hang'kong
营口港 ying'kou'gang
新力金融 xin'li'jin'rong
亚星化学 ya'xing'hua'xue
振华重工 zhen'hua'zhong'gong
正源股份 zheng'yuan'gu'fen
天房发展 tian'fang'fa'zhan
瀚蓝环境 han'lan'huan'jing
华发股份 hua'fa'gu'fen
西藏天路 xi'cang'tian'lu
大东方 da'dong'fang
兰太实业 lan'tai'shi'ye
中新药业 zhong'xin'yao'ye
天通股份 tian'tong'gu'fen
宏达股份 hong'da'gu'fen
白云山 bai'yun'shan
长春燃气 chang'chun'ran'qi
国机汽车 guo'ji'qi'che
澳柯玛 ao'ke'ma
美克家居 mei'ke'jia'ju
西藏珠峰 xi'cang'zhu'feng
中油工程 zhong'you'gong'cheng
华夏幸福 hua'xia'xing'fu
航天动力 hang'tian'dong'li
长江通信 chang'jiang'tong'xin
恒力股份 heng'li'gu'fen
阳泉煤业 yang'quan'mei'ye
山东高速 shan'dong'gao'su
亚宝药业 ya'bao'yao'ye
浙江龙盛 zhe'jiang'long'sheng
旭光股份 xu'guang'gu'fen
敦煌种业 dun'huang'zhong'ye
精伦电子 jing'lun'dian'zi
恒丰纸业 heng'feng'zhi'ye
国旅联合 guo'lv'lian'he
新农开发 xin'nong'kai'fa
华微电子 hua'wei'dian'zi
华联综超 hua'lian'zong'chao
江西铜业 jiang'xi'tong'ye
联创光电 lian'chuang'guang'dian
